Dataset,n_splits,n_alternatives,n_voters,rule_name,distance,distance_std,winning_ranking,annealed_scores
F1 Seasons (1998),10,20,16,Trimmed Borda,0.1771052631578947,0.008630883583458277,"[(16,), (1,), (9,), (11,), (6,), (18,), (3, 15), (13,), (5,), (17,), (12,), (10,), (2,), (4,), (0,), (19,), (7,), (8,), (14,)]",[]
F1 Seasons (1998),10,20,16,Borda Min-Max,0.19526315789473683,0.01175438596491228,"[(16,), (1,), (9,), (11,), (6,), (18,), (15,), (3,), (13,), (5,), (17,), (12,), (10,), (2,), (4,), (0,), (19,), (7,), (8,), (14,)]",[]
F1 Seasons (1998),10,20,16,Plurality,0.40657894736842104,0.0008988553303473359,"[(16,), (1,), (11, 13), (0, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 14, 15, 17, 18, 19)]",[]
F1 Seasons (1998),10,20,16,F1_rule-1991,0.1994736842105263,0.009248459896910316,"[(16,), (1,), (11,), (9,), (6,), (13,), (5, 15), (18,), (17,), (3,), (0,), (8, 14), (4, 10, 12), (2, 7, 19)]",[]
F1 Seasons (1998),10,20,16,F1_rule-2003,0.1705263157894737,0.00861080083635651,"[(16,), (1,), (11,), (9,), (6,), (15,), (5, 13, 18), (17,), (3,), (8, 12), (0,), (10, 14), (4,), (7,), (2, 19)]",[]
F1 Seasons (1998),10,20,16,F1_rule-2010,0.17078947368421052,0.0077118185452893905,"[(16,), (1,), (11,), (9,), (6,), (13, 15, 18), (5,), (3, 17), (12,), (8,), (0,), (10,), (14,), (4,), (7,), (19,), (2,)]",[]
F1 Seasons (1998),10,20,16,Borda,0.20763157894736844,0.012930491068065092,"[(16,), (1,), (9,), (11,), (6,), (18,), (3, 15), (13,), (5,), (17,), (12,), (10,), (2,), (4,), (0,), (19,), (7,), (8,), (14,)]",[]
F1 Seasons (1998),10,20,16,Plurality Veto,0.3331578947368421,0.012615730798839857,"[(16,), (1,), (11,), (2, 3, 4, 5, 6, 9, 10, 12, 15, 18), (13, 14, 17), (0, 7, 19), (8,)]",[]
F1 Seasons (1998),10,20,16,Veto,0.3936842105263158,0.01452648529437505,"[(1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 15, 16, 18), (14, 17), (0, 7, 13, 19), (8,)]",[]
F1 Seasons (1998),10,20,16,Two Approval,0.32947368421052625,0.004382454735718176,"[(16,), (1,), (11,), (9,), (18,), (13, 17), (0, 2, 3, 4, 5, 6, 7, 8, 10, 12, 14, 15, 19)]",[]
F1 Seasons (2010),10,21,19,Trimmed Borda,0.14428571428571427,0.006469105991211057,"[(11,), (19,), (13,), (20,), (14,), (8,), (10,), (15,), (2,), (1,), (12,), (3,), (16,), (4,), (9,), (18,), (7,), (17,), (5,), (6,), (0,)]",[]
F1 Seasons (2010),10,21,19,Borda Min-Max,0.15952380952380954,0.004668394022175474,"[(11,), (19,), (13,), (20,), (14,), (10,), (8,), (15,), (2,), (1,), (12,), (3,), (16,), (4,), (9,), (18,), (7,), (17,), (5,), (6,), (0,)]",[]
F1 Seasons (2010),10,21,19,Plurality,0.34309523809523806,0.009513552677906587,"[(11, 19), (13,), (14,), (20,), (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 15, 16, 17, 18)]",[]
F1 Seasons (2010),10,21,19,F1_rule-1991,0.18357142857142855,0.008026866577291207,"[(19,), (11,), (13, 14), (20,), (8,), (10,), (15,), (2,), (1,), (12,), (16,), (4, 7, 9), (0, 3, 5, 6, 17, 18)]",[]
F1 Seasons (2010),10,21,19,F1_rule-2003,0.14857142857142858,0.00837818617168041,"[(19,), (11, 14), (13,), (20,), (8,), (10,), (15,), (2,), (1,), (12,), (9,), (16,), (4,), (7,), (18,), (0, 3, 5, 6, 17)]",[]
F1 Seasons (2010),10,21,19,F1_rule-2010,0.1192857142857143,0.007698412698412698,"[(19,), (11,), (13,), (14,), (20,), (8,), (10,), (15,), (2,), (1,), (12,), (9,), (16,), (4,), (7,), (18,), (3,), (0, 5, 6, 17)]",[]
F1 Seasons (2010),10,21,19,Borda,0.1619047619047619,0.007645456875423679,"[(11,), (19,), (13,), (20,), (14,), (8,), (10,), (15,), (2,), (1,), (12,), (3,), (16,), (4,), (9,), (18,), (7,), (17,), (5,), (6,), (0,)]",[]
F1 Seasons (2010),10,21,19,Plurality Veto,0.3292857142857143,0.01312790538215644,"[(11, 19), (13, 14), (20,), (2, 8, 12, 15, 16), (1, 3, 4, 10, 17, 18), (5, 6, 9), (0, 7)]",[]
F1 Seasons (2010),10,21,19,Veto,0.4652380952380953,0.012649708184696365,"[(2, 8, 11, 12, 14, 15, 16, 19, 20), (1, 3, 4, 10, 13, 17, 18), (5, 6, 9), (0, 7)]",[]
F1 Seasons (2010),10,21,19,Two Approval,0.31214285714285717,0.008602603507080005,"[(13, 14), (11, 19), (20,), (8,), (15,), (0, 1, 2, 3, 4, 5, 6, 7, 9, 10, 12, 16, 17, 18)]",[]
F1 Seasons (2009),10,20,9,Trimmed Borda,0.24842105263157896,0.02976050913493337,"[(19,), (12,), (1,), (17,), (7,), (3,), (9,), (5,), (4,), (2,), (8,), (13,), (18,), (10, 14), (6,), (15,), (0,), (16,), (11,)]",[]
F1 Seasons (2009),10,20,9,Borda Min-Max,0.3081578947368421,0.043502846936693866,"[(19,), (1,), (12,), (17,), (7,), (3,), (9,), (5,), (4,), (2,), (8,), (13,), (18,), (10,), (6,), (0,), (14,), (15,), (16,), (11,)]",[]
F1 Seasons (2009),10,20,9,Plurality,0.4542105263157895,0.0074967931997268426,"[(19,), (17,), (12,), (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18)]",[]
F1 Seasons (2009),10,20,9,F1_rule-1991,0.26815789473684215,0.018364365577205412,"[(19,), (17,), (12,), (1,), (4,), (5,), (7,), (3,), (2,), (8,), (9, 13), (15,), (0, 6, 10, 11, 14, 16, 18)]",[]
F1 Seasons (2009),10,20,9,F1_rule-2003,0.23789473684210524,0.017649680853372835,"[(19,), (12, 17), (1,), (4,), (5,), (7,), (3,), (9,), (2, 8, 13), (15,), (16,), (10, 14), (0, 6, 11, 18)]",[]
F1 Seasons (2009),10,20,9,F1_rule-2010,0.22921052631578948,0.013546597759765418,"[(19,), (17,), (12,), (1,), (4,), (7,), (5,), (3,), (9,), (8,), (13,), (2,), (15,), (16,), (10,), (14,), (18,), (11,), (6,), (0,)]",[]
F1 Seasons (2009),10,20,9,Borda,0.23552631578947367,0.0123758842731343,"[(19,), (12,), (1,), (17,), (7,), (3,), (9,), (5,), (4,), (2,), (8,), (13,), (18,), (10, 14), (6,), (15,), (0,), (16,), (11,)]",[]
F1 Seasons (2009),10,20,9,Plurality Veto,0.4515789473684211,0.008051083442514923,"[(19,), (17,), (12,), (1, 2, 3, 5, 6, 7, 8, 9, 14), (0, 4, 10, 11, 13, 16, 18), (15,)]",[]
F1 Seasons (2009),10,20,9,Veto,0.5113157894736843,0.009275460331340116,"[(1, 2, 3, 5, 6, 7, 8, 9, 12, 14, 17, 19), (0, 4, 10, 11, 13, 16, 18), (15,)]",[]
F1 Seasons (2009),10,20,9,Two Approval,0.3684210526315789,0.015730885453656064,"[(19,), (12, 17), (1,), (2,), (0, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 14, 15, 16, 18)]",[]
F1 Seasons (1997),10,20,6,Trimmed Borda,0.3215789473684211,0.018730894647114894,"[(3,), (7,), (16, 19), (14,), (4,), (12,), (15,), (1,), (9, 18), (5,), (8,), (10,), (6,), (13,), (17,), (0,), (2,), (11,)]",[]
F1 Seasons (1997),10,20,6,Borda Min-Max,0.44789473684210523,0.027364484647187416,"[(7,), (3,), (16,), (19,), (4, 14), (12,), (15,), (1,), (9,), (8,), (18,), (5, 10), (6,), (13,), (0,), (17,), (2,), (11,)]",[]
F1 Seasons (1997),10,20,6,Plurality,0.4473684210526316,0.011969747440993465,"[(7,), (3,), (12,), (0, 1, 2, 4, 5, 6, 8, 9, 10, 11, 13, 14, 15, 16, 17, 18, 19)]",[]
F1 Seasons (1997),10,20,6,F1_rule-1991,0.27184210526315794,0.01856273831966298,"[(7,), (3,), (4, 12), (19,), (16,), (14,), (15,), (18,), (10,), (8, 17), (0, 1, 2, 5, 6, 9, 11, 13)]",[]
F1 Seasons (1997),10,20,6,F1_rule-2003,0.2647368421052632,0.023069341589893655,"[(7,), (3,), (4,), (16, 19), (12,), (14,), (15,), (18,), (10,), (8, 17), (9,), (5,), (1,), (0, 2, 6, 11, 13)]",[]
F1 Seasons (1997),10,20,6,F1_rule-2010,0.26421052631578945,0.022416357304259844,"[(7,), (3,), (16,), (4, 19), (12,), (14,), (15,), (18,), (10,), (9,), (8, 17), (5,), (1,), (0,), (6,), (13,), (2, 11)]",[]
F1 Seasons (1997),10,20,6,Borda,0.3481578947368421,0.016208143289564186,"[(3,), (7,), (16, 19), (14,), (4,), (12,), (15,), (1,), (9, 18), (5,), (8,), (10,), (6,), (13,), (17,), (0,), (2,), (11,)]",[]
F1 Seasons (1997),10,20,6,Plurality Veto,0.4276315789473684,0.01326419052881606,"[(7,), (3,), (12,), (1, 2, 4, 5, 6, 9, 13, 14, 15, 16, 18, 19), (0, 8, 10, 17), (11,)]",[]
F1 Seasons (1997),10,20,6,Veto,0.4865789473684211,0.0076617672730904035,"[(1, 2, 3, 4, 5, 6, 7, 9, 12, 13, 14, 15, 16, 18, 19), (0, 8, 10, 17), (11,)]",[]
F1 Seasons (1997),10,20,6,Two Approval,0.39552631578947367,0.013736125096117966,"[(4, 7), (3, 12), (15, 19), (0, 1, 2, 5, 6, 8, 9, 10, 11, 13, 14, 16, 17, 18)]",[]
F1 Seasons (2011),10,23,9,Trimmed Borda,0.16699604743083005,0.020616710078627,"[(12,), (21,), (22,), (14,), (6,), (15,), (11,), (18,), (13,), (1,), (7,), (2,), (0,), (8,), (16,), (17,), (20,), (19,), (4,), (3,), (9,), (10,), (5,)]",[]
F1 Seasons (2011),10,23,9,Borda Min-Max,0.29426877470355733,0.057457035485326206,"[(21,), (22,), (12,), (14,), (6,), (15,), (11,), (18,), (13,), (1,), (2,), (7,), (0,), (8,), (16,), (17,), (20,), (19,), (4,), (3,), (9,), (10,), (5,)]",[]
F1 Seasons (2011),10,23,9,Plurality,0.4537549407114625,0.008902790991581632,"[(21,), (22,), (12, 14, 15), (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 16, 17, 18, 19, 20)]",[]
F1 Seasons (2011),10,23,9,F1_rule-1991,0.2519762845849802,0.010116869983909024,"[(21,), (22,), (12,), (14,), (15,), (6,), (1,), (11,), (13, 18), (0, 2, 3, 4, 5, 7, 8, 9, 10, 16, 17, 19, 20)]",[]
F1 Seasons (2011),10,23,9,F1_rule-2003,0.19683794466403165,0.012754140387383173,"[(21,), (22,), (12,), (14,), (15,), (6,), (1, 11), (13, 18), (2,), (7,), (20,), (0, 3, 4, 5, 8, 9, 10, 16, 17, 19)]",[]
F1 Seasons (2011),10,23,9,F1_rule-2010,0.15671936758893282,0.014695107861676916,"[(21,), (22,), (12,), (14,), (15,), (6,), (11,), (1,), (18,), (13,), (2,), (7,), (20,), (16,), (8,), (17,), (0, 3, 4, 5, 9, 10, 19)]",[]
F1 Seasons (2011),10,23,9,Borda,0.1739130434782609,0.01380258685095979,"[(12,), (21,), (22,), (14,), (6,), (15,), (11,), (18,), (13,), (1,), (7,), (2,), (0,), (8,), (16,), (17,), (20,), (19,), (4,), (3,), (9,), (10,), (5,)]",[]
F1 Seasons (2011),10,23,9,Plurality Veto,0.4470355731225297,0.010183353812352882,"[(21,), (22,), (12, 14, 15), (0, 6, 7, 8, 9, 10, 11, 13, 16, 17, 18), (1, 2, 4, 5, 19, 20), (3,)]",[]
