Dataset,n_splits,n_alternatives,n_voters,rule_name,distance,distance_std,winning_ranking,annealed_scores
F1 Seasons (2011),10,23,9,Veto,0.5065217391304349,0.006298325231956659,"[(0, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 22), (1, 2, 4, 5, 19, 20, 21), (3,)]",[]
F1 Seasons (2011),10,23,9,Two Approval,0.38557312252964426,0.011870327057340445,"[(21,), (22,), (12,), (14, 15), (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 13, 16, 17, 18, 19, 20)]",[]
F1 Seasons (2012),10,23,20,Trimmed Borda,0.12391304347826089,0.010184419139308938,"[(13,), (21,), (10,), (14,), (5,), (22,), (15,), (12,), (2,), (18,), (7,), (8,), (6,), (9,), (16,), (0,), (11,), (19,), (17,), (3,), (1,), (20,), (4,)]",[]
F1 Seasons (2012),10,23,20,Borda Min-Max,0.141897233201581,0.011653936436098014,"[(13,), (21,), (10,), (14,), (22,), (5,), (15,), (2,), (12,), (18,), (7,), (8,), (6,), (9,), (11,), (0,), (16,), (19,), (17,), (3,), (1,), (20,), (4,)]",[]
F1 Seasons (2012),10,23,20,Plurality,0.3893280632411067,0.0118173812893234,"[(21,), (15,), (13, 22), (14,), (10, 12, 16), (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 17, 18, 19, 20)]",[]
F1 Seasons (2012),10,23,20,F1_rule-1991,0.1883399209486166,0.01242966222774854,"[(21,), (13,), (22,), (15,), (10, 14), (5,), (12,), (6,), (7, 16), (2,), (0,), (18,), (9,), (1, 3, 4, 8, 11, 17, 19, 20)]",[]
F1 Seasons (2012),10,23,20,F1_rule-2003,0.15217391304347824,0.0094641818161096,"[(13, 21), (10,), (22,), (15,), (14,), (5,), (12,), (6,), (7,), (2,), (0, 16), (18,), (9,), (11,), (8,), (1, 3, 4, 17, 19, 20)]",[]
F1 Seasons (2012),10,23,20,F1_rule-2010,0.14703557312252963,0.008990103878383124,"[(21,), (13,), (10,), (15,), (22,), (14,), (5,), (12,), (6,), (2,), (7,), (0,), (16, 18), (9,), (11,), (8,), (1, 3, 4, 17, 19, 20)]",[]
F1 Seasons (2012),10,23,20,Borda,0.14683794466403163,0.012207723867730466,"[(13,), (21,), (10,), (14,), (5,), (22,), (15,), (12,), (2,), (18,), (7,), (8,), (6,), (9,), (16,), (0,), (11,), (19,), (17,), (3,), (1,), (20,), (4,)]",[]
F1 Seasons (2012),10,23,20,Plurality Veto,0.4262845849802372,0.008779341358053808,"[(21,), (13,), (14, 22), (10, 15), (5, 8, 9, 12, 16, 18, 19, 20), (1, 2, 3, 7, 17), (4, 6, 11), (0,)]",[]
F1 Seasons (2012),10,23,20,Veto,0.4883399209486166,0.009220073041643,"[(5, 8, 9, 10, 13, 14, 18, 19, 20, 21), (1, 2, 3, 7, 12, 16, 17, 22), (4, 6, 11), (0, 15)]",[]
F1 Seasons (2012),10,23,20,Two Approval,0.31304347826086953,0.011513071027643464,"[(13, 21), (22,), (10, 15), (6, 14), (12,), (5, 16), (0, 1, 2, 3, 4, 7, 8, 9, 11, 17, 18, 19, 20)]",[]
F1 Seasons (2016),10,21,12,Trimmed Borda,0.13452380952380952,0.01013420899665614,"[(17,), (12,), (9,), (13,), (10,), (19,), (15,), (7,), (4,), (3,), (5,), (6,), (20,), (1,), (18,), (8,), (2,), (16,), (11,), (0,), (14,)]",[]
F1 Seasons (2016),10,21,12,Borda Min-Max,0.17238095238095238,0.017601163524608394,"[(17,), (12,), (9,), (13,), (10,), (19,), (15,), (7,), (4,), (3, 5), (6,), (20,), (18,), (1,), (8,), (2,), (16,), (0, 11), (14,)]",[]
F1 Seasons (2016),10,21,12,Plurality,0.4159523809523809,0.004601121600201823,"[(17,), (12,), (10,), (0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 13, 14, 15, 16, 18, 19, 20)]",[]
F1 Seasons (2016),10,21,12,F1_rule-1991,0.23785714285714285,0.0050874192096943965,"[(17,), (12,), (19,), (9,), (10,), (13,), (15,), (7,), (5,), (8,), (6,), (3,), (1, 4, 20), (0, 2, 11, 14, 16, 18)]",[]
F1 Seasons (2016),10,21,12,F1_rule-2003,0.17952380952380953,0.007327421515926216,"[(17,), (12,), (9,), (13, 19), (10,), (15,), (7,), (5,), (3, 6), (4,), (8,), (20,), (1,), (0, 2, 11, 14, 16, 18)]",[]
F1 Seasons (2016),10,21,12,F1_rule-2010,0.15404761904761904,0.010064355778868222,"[(17,), (12,), (9,), (13,), (19,), (10,), (15,), (7,), (5,), (3,), (4,), (6,), (8,), (20,), (1,), (11, 18), (0, 2, 14, 16)]",[]
F1 Seasons (2016),10,21,12,Borda,0.17285714285714288,0.014180387735231061,"[(17,), (12,), (9,), (13,), (10,), (19,), (15,), (7,), (4,), (3,), (5,), (6,), (20,), (1,), (18,), (8,), (2,), (16,), (11,), (0,), (14,)]",[]
F1 Seasons (2016),10,21,12,Plurality Veto,0.3466666666666667,0.01196913810889451,"[(17,), (12,), (10,), (1, 2, 3, 4, 6, 7, 9, 13, 15, 16, 18, 19), (5, 11, 14), (20,), (0, 8)]",[]
F1 Seasons (2016),10,21,12,Veto,0.42738095238095236,0.011633144800487334,"[(1, 2, 3, 4, 6, 7, 9, 10, 13, 15, 16, 17, 18, 19), (5, 11, 12, 14), (20,), (0, 8)]",[]
F1 Seasons (2016),10,21,12,Two Approval,0.33452380952380956,0.013595541560193207,"[(17,), (12,), (10, 19), (9, 13), (0, 1, 2, 3, 4, 5, 6, 7, 8, 11, 14, 15, 16, 18, 20)]",[]
F1 Seasons (2015),10,20,13,Trimmed Borda,0.1355263157894737,0.008596938763860784,"[(15,), (17,), (9,), (3,), (10,), (13,), (6,), (4,), (7,), (5,), (0,), (8,), (1,), (14,), (2,), (18,), (12,), (16,), (19,), (11,)]",[]
F1 Seasons (2015),10,20,13,Borda Min-Max,0.16342105263157897,0.01429824561403509,"[(15,), (17,), (9,), (3,), (10,), (13,), (6,), (4,), (7,), (5,), (0,), (8,), (1,), (14,), (2,), (18,), (12,), (16,), (19,), (11,)]",[]
F1 Seasons (2015),10,20,13,Plurality,0.3960526315789473,0.010003462004604323,"[(15,), (9,), (17,), (0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 11, 12, 13, 14, 16, 18, 19)]",[]
F1 Seasons (2015),10,20,13,F1_rule-1991,0.2081578947368421,0.006195864346108879,"[(15,), (9,), (17,), (10,), (3, 13), (6,), (4,), (7,), (5,), (8,), (12,), (0, 1), (2, 11, 14, 16, 18, 19)]",[]
F1 Seasons (2015),10,20,13,F1_rule-2003,0.15394736842105264,0.006954209815957398,"[(15,), (9,), (17,), (10,), (3,), (13,), (6,), (4,), (7,), (5,), (1,), (8,), (16,), (0, 12), (2, 18), (11, 14, 19)]",[]
F1 Seasons (2015),10,20,13,F1_rule-2010,0.13894736842105265,0.005920890186205684,"[(15,), (9,), (17,), (10,), (3,), (13,), (6,), (4,), (7,), (5,), (1,), (8,), (16,), (0,), (12,), (18,), (2,), (14,), (11, 19)]",[]
F1 Seasons (2015),10,20,13,Borda,0.15763157894736843,0.012882796715611043,"[(15,), (17,), (9,), (3,), (10,), (13,), (6,), (4,), (7,), (5,), (0,), (8,), (1,), (14,), (2,), (18,), (12,), (16,), (19,), (11,)]",[]
F1 Seasons (2015),10,20,13,Plurality Veto,0.34421052631578947,0.015754346891679753,"[(15,), (9,), (17,), (2, 3, 4, 5, 6, 7, 8, 10, 13, 19), (0, 11, 14, 18), (1, 12, 16)]",[]
F1 Seasons (2015),10,20,13,Veto,0.43947368421052635,0.012663215742188483,"[(2, 3, 4, 5, 6, 7, 8, 9, 10, 13, 15, 17, 19), (0, 11, 14, 18), (1, 12, 16)]",[]
F1 Seasons (2015),10,20,13,Two Approval,0.36394736842105263,0.0014704433872140502,"[(15,), (9,), (17,), (6, 10), (0, 1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 16, 18, 19)]",[]
F1 Seasons (2013),10,21,19,Trimmed Borda,0.1157142857142857,0.008738812449841779,"[(19,), (11,), (15,), (14,), (9,), (3,), (20,), (4,), (5,), (1,), (17,), (13,), (6,), (18,), (12,), (16,), (8,), (10,), (0,), (2,), (7,)]",[]
F1 Seasons (2013),10,21,19,Borda Min-Max,0.1278571428571429,0.009609731462195506,"[(19,), (11,), (15,), (14,), (9,), (3,), (20,), (4,), (5,), (1,), (17,), (6, 13), (18,), (12,), (16,), (8,), (10,), (0,), (2,), (7,)]",[]
F1 Seasons (2013),10,21,19,Plurality,0.4007142857142857,0.009173793010859643,"[(19,), (11,), (9,), (15,), (0, 1, 2, 3, 4, 5, 6, 7, 8, 10, 12, 13, 14, 16, 17, 18, 20)]",[]
F1 Seasons (2013),10,21,19,F1_rule-1991,0.17023809523809524,0.012684764490875047,"[(19,), (11,), (14,), (15,), (9,), (4,), (3,), (20,), (1,), (17,), (5,), (13,), (6, 8, 18), (0, 2, 7, 10, 12, 16)]",[]
F1 Seasons (2013),10,21,19,F1_rule-2003,0.13,0.008287477766480391,"[(19,), (11,), (14,), (15,), (9,), (4,), (3,), (20,), (1, 17), (5,), (13,), (6,), (8,), (18,), (12,), (0, 2, 7, 10, 16)]",[]
F1 Seasons (2013),10,21,19,F1_rule-2010,0.0980952380952381,0.008457502733179188,"[(19,), (11,), (14,), (15,), (9,), (4,), (3,), (20,), (1, 5), (17,), (13,), (6,), (8,), (18,), (12, 16), (0, 2, 7, 10)]",[]
F1 Seasons (2013),10,21,19,Borda,0.1278571428571429,0.008008011231894513,"[(19,), (11,), (15,), (14,), (9,), (3,), (20,), (4,), (5,), (1,), (17,), (13,), (6,), (18,), (12,), (16,), (8,), (10,), (0,), (2,), (7,)]",[]
F1 Seasons (2013),10,21,19,Plurality Veto,0.41690476190476194,0.013962164978771445,"[(19,), (9, 11), (15,), (5, 12, 14, 16, 20), (1, 3, 6, 7, 10, 18), (0, 2, 4, 8, 13, 17)]",[]
F1 Seasons (2013),10,21,19,Veto,0.5240476190476191,0.01172053216691274,"[(5, 9, 12, 14, 15, 16, 19, 20), (1, 3, 6, 7, 10, 11, 18), (0, 2, 4, 8, 13, 17)]",[]
F1 Seasons (2013),10,21,19,Two Approval,0.3114285714285714,0.013453727047883866,"[(19,), (11,), (14,), (4,), (9,), (15,), (3,), (0, 1, 2, 5, 6, 7, 8, 10, 12, 13, 16, 17, 18, 20)]",[]
F1 Seasons (2007),10,19,16,Trimmed Borda,0.1371345029239766,0.008148171465312617,"[(13,), (7, 9), (6,), (2,), (15,), (14,), (8,), (17,), (0,), (4, 12), (16,), (18,), (11,), (1,), (5,), (3,), (10,)]",[]
F1 Seasons (2007),10,19,16,Borda Min-Max,0.14649122807017542,0.010716373160935223,"[(9,), (7, 13), (6,), (2,), (14,), (15,), (17,), (8,), (0,), (4,), (12,), (16,), (18,), (11,), (1,), (3,), (5,), (10,)]",[]
F1 Seasons (2007),10,19,16,Plurality,0.3567251461988304,0.014482788008582227,"[(7,), (9,), (6, 13), (0, 1, 2, 3, 4, 5, 8, 10, 11, 12, 14, 15, 16, 17, 18)]",[]
F1 Seasons (2007),10,19,16,F1_rule-1991,0.2219298245614035,0.009623491663155657,"[(7,), (9,), (13,), (6,), (2,), (14,), (15,), (17,), (12,), (8,), (11, 18), (1, 5), (16,), (0, 3, 4, 10)]",[]
F1 Seasons (2007),10,19,16,F1_rule-2003,0.17368421052631577,0.011640544738271823,"[(7,), (9,), (13,), (6,), (2,), (14,), (15,), (17,), (8,), (12,), (11,), (18,), (16,), (1, 4), (5,), (0, 10), (3,)]",[]
F1 Seasons (2007),10,19,16,F1_rule-2010,0.145906432748538,0.009780156619821583,"[(7,), (9,), (13,), (6,), (2,), (14,), (15,), (17,), (8,), (12,), (11,), (18,), (16,), (4,), (1,), (5,), (0,), (10,), (3,)]",[]
F1 Seasons (2007),10,19,16,Borda,0.1587719298245614,0.009389663434016638,"[(13,), (7, 9), (6,), (2,), (15,), (14,), (8,), (17,), (0,), (4, 12), (16,), (18,), (11,), (1,), (5,), (3,), (10,)]",[]
F1 Seasons (2007),10,19,16,Plurality Veto,0.2994152046783626,0.017994008344474226,"[(7,), (6, 9, 13), (0, 1, 2, 4, 8, 15, 16), (3, 10, 12, 14), (18,), (5, 11, 17)]",[]
F1 Seasons (2007),10,19,16,Veto,0.42046783625731,0.011620942347593666,"[(0, 1, 2, 4, 6, 7, 8, 13, 15, 16), (3, 9, 10, 12, 14), (18,), (5, 11, 17)]",[]
F1 Seasons (2007),10,19,16,Two Approval,0.3371345029239766,0.0011573432833370282,"[(7, 13), (6, 9), (2, 15), (0, 1, 3, 4, 5, 8, 10, 11, 12, 14, 16, 17, 18)]",[]
F1 Seasons (2008),10,20,18,Trimmed Borda,0.15026315789473682,0.010667546708848872,"[(14,), (15,), (5,), (2,), (8,), (9,), (16,), (4,), (12,), (3,), (7,), (17,), (0,), (6,), (13,), (19,), (1,), (10,), (18,), (11,)]",[]
F1 Seasons (2008),10,20,18,Borda Min-Max,0.19105263157894736,0.016341236522378972,"[(14,), (15,), (5,), (2,), (8,), (9,), (16,), (4,), (12,), (3,), (7,), (17,), (0,), (6,), (13,), (19,), (1,), (10,), (18,), (11,)]",[]
F1 Seasons (2008),10,20,18,Plurality,0.3997368421052631,0.012598946640419502,"[(5,), (14,), (8, 9), (15, 16, 17), (0, 1, 2, 3, 4, 6, 7, 10, 11, 12, 13, 18, 19)]",[]
F1 Seasons (2008),10,20,18,F1_rule-1991,0.21184210526315791,0.009809276957819617,"[(5,), (14,), (8,), (15,), (9,), (2,), (16,), (17,), (3, 4), (6, 7), (12,), (1,), (13,), (0, 19), (10, 11, 18)]",[]
F1 Seasons (2008),10,20,18,F1_rule-2003,0.1736842105263158,0.015701509358080314,"[(14,), (5,), (8, 15), (9,), (2,), (16,), (17,), (4,), (3,), (12,), (6,), (7,), (1,), (0,), (13,), (10,), (19,), (11, 18)]",[]
F1 Seasons (2008),10,20,18,F1_rule-2010,0.1631578947368421,0.011788377141987607,"[(14,), (5,), (8,), (15,), (9,), (2,), (16,), (17,), (4,), (3,), (12,), (6, 7), (1,), (0, 13), (10,), (19,), (18,), (11,)]",[]
F1 Seasons (2008),10,20,18,Borda,0.18710526315789472,0.01352954656844786,"[(14,), (15,), (5,), (2,), (8,), (9,), (16,), (4,), (12,), (3,), (7,), (17,), (0,), (6,), (13,), (19,), (1,), (10,), (18,), (11,)]",[]
F1 Seasons (2008),10,20,18,Plurality Veto,0.3728947368421053,0.01291024249741078,"[(5,), (14,), (8,), (9, 15, 16), (0, 2, 7, 12), (1, 3, 4, 11, 19), (6, 10, 17, 18), (13,)]",[]
F1 Seasons (2008),10,20,18,Veto,0.4492105263157894,0.010207526538303152,"[(0, 2, 5, 7, 8, 12, 14, 15, 16), (1, 3, 4, 9, 11, 19), (6, 10, 18), (13, 17)]",[]
F1 Seasons (2008),10,20,18,Two Approval,0.326578947368421,0.014769439720112775,"[(5,), (14,), (2, 8, 15), (9,), (16,), (3, 6, 7, 17), (0, 1, 4, 10, 11, 12, 13, 18, 19)]",[]
F1 Seasons (2014),10,20,16,Trimmed Borda,0.12447368421052632,0.010009613722922457,"[(8,), (6,), (15,), (12,), (11,), (18,), (19,), (1,), (9,), (0,), (3,), (2,), (10,), (5,), (4,), (16,), (17,), (13,), (7,), (14,)]",[]
F1 Seasons (2014),10,20,16,Borda Min-Max,0.1431578947368421,0.01082329601065767,"[(8,), (15,), (6,), (12,), (11,), (18,), (19,), (1,), (9,), (0,), (2, 3), (10,), (5,), (4,), (16,), (17,), (13,), (7,), (14,)]",[]
F1 Seasons (2014),10,20,16,Plurality,0.37631578947368427,0.007297064681784355,"[(15,), (8,), (6,), (0, 1, 2, 3, 4, 5, 7, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19)]",[]
