n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
16,5,20,MALLOWS-RELPHI-R,Reversal Symmetry,200,0,"Counter({'Borda': 101, 'Dowdall': 52, 'Plurality Veto': 26, 'Anti-Plurality': 13, 'Plurality': 8})"
16,5,20,MALLOWS-RELPHI-R,Monotonicity,200,5,"Counter({'Borda': 103, 'Dowdall': 45, 'Plurality Veto': 23, 'Plurality': 12, 'Anti-Plurality': 12})"
16,5,20,MALLOWS-RELPHI-R,Strong Consistency,1595,471,"Counter({'Borda': 877, 'Dowdall': 151, 'Plurality Veto': 55, 'Plurality': 25, 'Anti-Plurality': 16})"
16,5,20,MALLOWS-RELPHI-R,Weak Consistency,937,149,"Counter({'Borda': 707, 'Dowdall': 79, 'Plurality': 1, 'Plurality Veto': 1})"
16,5,20,URN-R,Reversal Symmetry,200,0,"Counter({'Borda': 87, 'Dowdall': 37, 'Plurality Veto': 37, 'Anti-Plurality': 22, 'Plurality': 17})"
16,5,20,URN-R,Monotonicity,200,5,"Counter({'Borda': 83, 'Dowdall': 40, 'Plurality Veto': 37, 'Anti-Plurality': 20, 'Plurality': 15})"
16,5,20,URN-R,Strong Consistency,1577,375,"Counter({'Borda': 838, 'Plurality Veto': 165, 'Dowdall': 133, 'Anti-Plurality': 43, 'Plurality': 23})"
16,5,20,URN-R,Weak Consistency,913,64,"Counter({'Borda': 731, 'Dowdall': 61, 'Plurality Veto': 40, 'Anti-Plurality': 10, 'Plurality': 7})"
16,5,20,plackett_luce,Reversal Symmetry,200,0,"Counter({'Borda': 94, 'Plurality Veto': 50, 'Dowdall': 36, 'Anti-Plurality': 18, 'Plurality': 2})"
16,5,20,plackett_luce,Monotonicity,200,3,"Counter({'Borda': 92, 'Plurality Veto': 43, 'Dowdall': 40, 'Anti-Plurality': 22})"
16,5,20,plackett_luce,Strong Consistency,1313,530,"Counter({'Borda': 559, 'Plurality Veto': 150, 'Dowdall': 66, 'Anti-Plurality': 6, 'Plurality': 2})"
16,5,20,plackett_luce,Weak Consistency,169,29,"Counter({'Borda': 100, 'Dowdall': 19, 'Plurality Veto': 19, 'Anti-Plurality': 2})"
16,5,20,single_peaked_conitzer,Reversal Symmetry,200,0,"Counter({'Anti-Plurality': 119, 'Borda': 44, 'Plurality Veto': 35, 'Dowdall': 2})"
16,5,20,single_peaked_conitzer,Monotonicity,200,3,"Counter({'Anti-Plurality': 134, 'Borda': 34, 'Plurality Veto': 27, 'Dowdall': 1, 'Plurality': 1})"
16,5,20,single_peaked_conitzer,Strong Consistency,1404,642,"Counter({'Anti-Plurality': 476, 'Borda': 224, 'Plurality Veto': 61, 'Dowdall': 1})"
16,5,20,single_peaked_conitzer,Weak Consistency,296,145,"Counter({'Anti-Plurality': 108, 'Borda': 38, 'Plurality Veto': 5})"
16,5,20,IC,Reversal Symmetry,200,0,"Counter({'Anti-Plurality': 55, 'Plurality': 52, 'Borda': 40, 'Plurality Veto': 31, 'Dowdall': 22})"
16,5,20,IC,Monotonicity,200,11,"Counter({'Anti-Plurality': 50, 'Plurality': 44, 'Borda': 35, 'Dowdall': 32, 'Plurality Veto': 28})"
