num_voters,num_alternatives,Num Profiles,Shuffle Amount,Splits Per Profile,split type,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
20,10,1,0,20,equal_size,plackett_luce-R,Kemeny,0.184,0.054,0.089,0.0
20,10,1,0,20,equal_size,plackett_luce-R,PL MLE,0.128,0.051,0.089,0.0
20,10,1,0,20,equal_size,plackett_luce-R,Kemeny,0.463,0.074,0.422,0.0
20,10,1,0,20,equal_size,plackett_luce-R,PL MLE,0.411,0.083,0.311,0.0
20,10,1,0,20,equal_size,plackett_luce-R,Kemeny,0.339,0.078,0.244,0.0
20,10,1,0,20,equal_size,plackett_luce-R,PL MLE,0.323,0.07,0.267,0.0
20,10,1,0,20,equal_size,plackett_luce-R,Kemeny,0.108,0.025,0.067,0.0
20,10,1,0,20,equal_size,plackett_luce-R,PL MLE,0.134,0.032,0.0,0.0
20,10,1,0,20,equal_size,plackett_luce-R,Kemeny,0.332,0.088,0.044,0.0
20,10,1,0,20,equal_size,plackett_luce-R,PL MLE,0.338,0.066,0.133,0.0
20,10,1,0,20,equal_size,plackett_luce,Kemeny,0.087,0.022,0.067,0.0
20,10,1,0,20,equal_size,plackett_luce,PL MLE,0.111,0.01,0.044,0.0
20,10,1,0,20,equal_size,plackett_luce,Kemeny,0.09,0.02,0.067,0.0
20,10,1,0,20,equal_size,plackett_luce,PL MLE,0.087,0.026,0.067,0.0
20,10,1,0,20,equal_size,plackett_luce,Kemeny,0.069,0.04,0.022,0.0
20,10,1,0,20,equal_size,plackett_luce,PL MLE,0.067,0.041,0.0,0.0
20,10,1,0,20,equal_size,plackett_luce,Kemeny,0.031,0.029,0.0,0.0
20,10,1,0,20,equal_size,plackett_luce,PL MLE,0.041,0.025,0.0,0.0
20,10,1,0,20,equal_size,plackett_luce,Kemeny,0.048,0.021,0.022,0.0
20,10,1,0,20,equal_size,plackett_luce,PL MLE,0.068,0.024,0.0,0.0
