n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
100,20,50,MALLOWS-0.4,Reversal Consistency,500,0,"Counter({'Borda': 457, 'Dowdall': 43})"
100,20,50,MALLOWS-0.4,Monotonicity,500,0,"Counter({'Borda': 459, 'Dowdall': 41})"
100,20,50,MALLOWS-0.4,Strong Consistency,427,27,Counter({'Borda': 400})
100,20,50,MALLOWS-0.4,Weak Consistency,380,25,Counter({'Borda': 355})
100,20,50,URN-R,Reversal Consistency,500,0,"Counter({'Borda': 281, 'Dowdall': 156, 'Plurality Veto': 31, 'Two Approval': 17, 'Anti-Plurality': 10, 'Plurality': 5})"
100,20,50,URN-R,Monotonicity,500,4,"Counter({'Borda': 277, 'Dowdall': 152, 'Plurality Veto': 33, 'Two Approval': 17, 'Anti-Plurality': 10, 'Plurality': 7})"
100,20,50,URN-R,Strong Consistency,338,31,"Counter({'Borda': 204, 'Dowdall': 83, 'Plurality Veto': 15, 'Anti-Plurality': 2, 'Two Approval': 2, 'Plurality': 1})"
100,20,50,URN-R,Weak Consistency,34,0,Counter({'Borda': 34})
100,20,50,plackett_luce,Reversal Consistency,500,0,Counter({'Borda': 500})
100,20,50,plackett_luce,Monotonicity,500,0,Counter({'Borda': 500})
100,20,50,plackett_luce,Strong Consistency,500,0,Counter({'Borda': 500})
100,20,50,plackett_luce,Weak Consistency,143,0,Counter({'Borda': 143})
100,20,50,single_peaked_conitzer,Reversal Consistency,500,0,Counter({'Borda': 500})
100,20,50,single_peaked_conitzer,Monotonicity,500,2,Counter({'Borda': 498})
100,20,50,single_peaked_conitzer,Strong Consistency,499,0,Counter({'Borda': 499})
100,20,50,single_peaked_conitzer,Weak Consistency,0,0,Counter()
100,20,50,IC,Reversal Consistency,500,0,"Counter({'Anti-Plurality': 110, 'Borda': 105, 'Two Approval': 91, 'Plurality': 81, 'Plurality Veto': 75, 'Dowdall': 38})"
100,20,50,IC,Monotonicity,500,86,"Counter({'Borda': 108, 'Anti-Plurality': 75, 'Plurality': 66, 'Two Approval': 64, 'Plurality Veto': 57, 'Dowdall': 44})"
100,20,50,IC,Strong Consistency,94,27,"Counter({'Anti-Plurality': 20, 'Plurality Veto': 15, 'Borda': 14, 'Plurality': 9, 'Two Approval': 6, 'Dowdall': 3})"
100,20,50,IC,Weak Consistency,0,0,Counter()
