n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
12,5,50,preflib,Reversal Consistency,1,0,Counter({'Borda': 1})
12,5,50,preflib,Monotonicity,1,0,Counter({'Borda': 1})
12,5,50,preflib,Strong Consistency,0,0,Counter()
12,5,50,preflib,Weak Consistency,0,0,Counter()
8,5,50,preflib,Reversal Consistency,1,0,Counter({'Dowdall': 1})
8,5,50,preflib,Monotonicity,1,0,Counter({'Dowdall': 1})
8,5,50,preflib,Strong Consistency,0,0,Counter()
8,5,50,preflib,Weak Consistency,0,0,Counter()
8,5,50,preflib,Reversal Consistency,1,0,Counter({'Dowdall': 1})
8,5,50,preflib,Monotonicity,1,0,Counter({'Dowdall': 1})
8,5,50,preflib,Strong Consistency,0,0,Counter()
8,5,50,preflib,Weak Consistency,0,0,Counter()
261,5,50,preflib,Reversal Consistency,1,0,Counter({'Plurality Veto': 1})
261,5,50,preflib,Monotonicity,1,0,Counter({'Anti-Plurality': 1})
261,5,50,preflib,Strong Consistency,0,0,Counter()
261,5,50,preflib,Weak Consistency,0,0,Counter()
7,5,50,preflib,Reversal Consistency,1,0,Counter({'Plurality Veto': 1})
7,5,50,preflib,Monotonicity,1,0,Counter({'Plurality Veto': 1})
7,5,50,preflib,Strong Consistency,1,1,Counter()
7,5,50,preflib,Weak Consistency,0,0,Counter()
10,5,50,preflib,Reversal Consistency,1,0,Counter({'Borda': 1})
10,5,50,preflib,Monotonicity,1,0,Counter({'Plurality Veto': 1})
10,5,50,preflib,Strong Consistency,0,0,Counter()
10,5,50,preflib,Weak Consistency,0,0,Counter()
8,5,50,preflib,Reversal Consistency,1,0,Counter({'Dowdall': 1})
8,5,50,preflib,Monotonicity,1,0,Counter({'Dowdall': 1})
8,5,50,preflib,Strong Consistency,0,0,Counter()
8,5,50,preflib,Weak Consistency,0,0,Counter()
6,5,50,preflib,Reversal Consistency,1,0,Counter({'Dowdall': 1})
6,5,50,preflib,Monotonicity,1,0,Counter({'Dowdall': 1})
6,5,50,preflib,Strong Consistency,0,0,Counter()
6,5,50,preflib,Weak Consistency,0,0,Counter()
9,5,50,preflib,Reversal Consistency,1,0,Counter({'Dowdall': 1})
9,5,50,preflib,Monotonicity,1,0,Counter({'Dowdall': 1})
9,5,50,preflib,Strong Consistency,0,0,Counter()
9,5,50,preflib,Weak Consistency,0,0,Counter()
31,5,50,preflib,Reversal Consistency,1,0,Counter({'Plurality': 1})
31,5,50,preflib,Monotonicity,1,0,Counter({'Dowdall': 1})
31,5,50,preflib,Strong Consistency,0,0,Counter()
31,5,50,preflib,Weak Consistency,0,0,Counter()
26,5,50,preflib,Reversal Consistency,1,0,Counter({'Plurality': 1})
26,5,50,preflib,Monotonicity,1,0,Counter({'Plurality': 1})
26,5,50,preflib,Strong Consistency,0,0,Counter()
26,5,50,preflib,Weak Consistency,0,0,Counter()
16,5,50,preflib,Reversal Consistency,1,0,Counter({'Borda': 1})
16,5,50,preflib,Monotonicity,1,0,Counter({'Borda': 1})
16,5,50,preflib,Strong Consistency,1,1,Counter()
16,5,50,preflib,Weak Consistency,0,0,Counter()
6,5,50,preflib,Reversal Consistency,1,0,Counter({'Plurality': 1})
6,5,50,preflib,Monotonicity,1,0,Counter({'Plurality': 1})
6,5,50,preflib,Strong Consistency,0,0,Counter()
6,5,50,preflib,Weak Consistency,0,0,Counter()
14,5,50,preflib,Reversal Consistency,1,0,Counter({'Plurality Veto': 1})
14,5,50,preflib,Monotonicity,1,0,Counter({'Dowdall': 1})
14,5,50,preflib,Strong Consistency,1,1,Counter()
14,5,50,preflib,Weak Consistency,0,0,Counter()
35,6,50,preflib,Reversal Consistency,1,0,Counter({'Plurality': 1})
