num_voters,num_alternatives,Num Profiles,Shuffle Amount,Splits Per Profile,split type,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.245,0.063,0.133,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.215,0.053,0.129,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.185,0.049,0.087,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.126,0.041,0.038,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.127,0.041,0.087,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.163,0.042,0.14,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.147,0.046,0.084,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.203,0.053,0.096,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.152,0.048,0.071,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.114,0.04,0.067,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.361,0.054,0.226,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.372,0.056,0.29,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.387,0.053,0.242,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.381,0.061,0.291,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.372,0.049,0.236,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.376,0.043,0.306,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.382,0.05,0.253,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.393,0.051,0.254,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.4,0.045,0.29,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.346,0.04,0.23,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.303,0.057,0.172,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.314,0.056,0.187,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.268,0.05,0.16,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.294,0.053,0.164,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.256,0.052,0.15,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.259,0.05,0.137,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.313,0.062,0.177,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.27,0.048,0.134,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.211,0.048,0.084,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.27,0.052,0.158,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Borda,0.263,0.06,0.169,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Borda,0.238,0.057,0.172,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Borda,0.202,0.05,0.146,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Borda,0.065,0.025,0.018,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Borda,0.198,0.038,0.114,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Borda,0.271,0.063,0.169,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Borda,0.218,0.052,0.108,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Borda,0.18,0.047,0.128,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Borda,0.214,0.053,0.101,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Borda,0.221,0.062,0.09,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.227,0.045,0.162,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.137,0.036,0.051,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.179,0.039,0.144,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.227,0.048,0.096,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.22,0.053,0.116,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.263,0.063,0.173,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.234,0.049,0.107,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.16,0.045,0.131,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.217,0.054,0.127,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.279,0.056,0.164,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Anit-Plurality,0.339,0.048,0.23,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Anit-Plurality,0.374,0.062,0.244,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Anit-Plurality,0.348,0.057,0.243,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Anit-Plurality,0.422,0.061,0.29,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Anit-Plurality,0.363,0.049,0.242,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Anit-Plurality,0.368,0.053,0.276,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Anit-Plurality,0.359,0.06,0.239,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Anit-Plurality,0.379,0.053,0.259,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Anit-Plurality,0.327,0.044,0.233,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Anit-Plurality,0.354,0.061,0.239,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Copeland,0.202,0.042,0.158,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Copeland,0.241,0.06,0.126,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Copeland,0.199,0.042,0.076,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Copeland,0.157,0.036,0.092,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Copeland,0.213,0.053,0.123,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Copeland,0.122,0.034,0.073,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Copeland,0.163,0.048,0.048,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Copeland,0.215,0.041,0.122,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Copeland,0.148,0.036,0.068,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Copeland,0.19,0.046,0.102,0.0
