num_voters,num_alternatives,Num Profiles,Shuffle Amount,Splits Per Profile,split type,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.15,0.036,0.154,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.16,0.037,0.13,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.124,0.032,0.106,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.144,0.03,0.113,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.177,0.033,0.136,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.154,0.034,0.17,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.111,0.027,0.092,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.151,0.04,0.157,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.217,0.052,0.18,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.126,0.035,0.182,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.083,0.026,0.106,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.078,0.027,0.172,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.087,0.032,0.131,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.138,0.034,0.196,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.094,0.025,0.098,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.085,0.03,0.129,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.099,0.035,0.203,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.096,0.028,0.112,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.087,0.023,0.111,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.093,0.025,0.113,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Borda,0.037,0.02,0.049,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Borda,0.059,0.021,0.129,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Borda,0.037,0.017,0.069,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Borda,0.066,0.024,0.15,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Borda,0.045,0.016,0.087,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Borda,0.04,0.015,0.071,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Borda,0.044,0.019,0.064,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Borda,0.061,0.019,0.117,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Borda,0.053,0.024,0.087,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Borda,0.051,0.023,0.113,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.098,0.037,0.161,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.065,0.02,0.061,0.0
20,10,10,4,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.06,0.02,0.1,0.0
