,Dataset,n_splits,n_alternatives,n_voters,rule_name,distance,distance_std
118,F1 Seasons,100,25,20,Two Approval,0.315,0.029
119,F1 Seasons,100,25,20,F1-2012,0.144,0.02
120,F1 Seasons,100,28,19,Borda,0.047,0.01
121,F1 Seasons,100,28,19,Plurality,0.208,0.009
122,F1 Seasons,100,28,19,Plurality Veto,0.125,0.007
123,F1 Seasons,100,28,19,Anti-Plurality,0.159,0.002
124,F1 Seasons,100,28,19,Two Approval,0.175,0.007
125,F1 Seasons,100,28,19,F1-2011,0.082,0.011
126,F1 Seasons,100,22,19,Borda,0.06,0.011
127,F1 Seasons,100,22,19,Plurality,0.191,0.01
128,F1 Seasons,100,22,19,Plurality Veto,0.138,0.009
129,F1 Seasons,100,22,19,Anti-Plurality,0.185,0.0
130,F1 Seasons,100,22,19,Two Approval,0.188,0.004
131,F1 Seasons,100,22,19,F1-2015,0.067,0.011
132,F1 Seasons,100,24,21,Borda,0.054,0.01
133,F1 Seasons,100,24,21,Plurality,0.211,0.001
134,F1 Seasons,100,24,21,Plurality Veto,0.157,0.001
135,F1 Seasons,100,24,21,Anti-Plurality,0.191,0.001
136,F1 Seasons,100,24,21,Two Approval,0.158,0.014
137,F1 Seasons,100,24,21,F1-2016,0.069,0.01
138,F1 Seasons,100,22,18,Borda,0.151,0.026
139,F1 Seasons,100,22,18,Plurality,0.395,0.03
140,F1 Seasons,100,22,18,Plurality Veto,0.316,0.027
141,F1 Seasons,100,22,18,Anti-Plurality,0.397,0.02
142,F1 Seasons,100,22,18,Two Approval,0.326,0.033
143,F1 Seasons,100,22,18,F1-2008,0.165,0.027
144,F1 Seasons,100,24,19,Borda,0.047,0.011
145,F1 Seasons,100,24,19,Plurality,0.196,0.009
146,F1 Seasons,100,24,19,Plurality Veto,0.116,0.017
147,F1 Seasons,100,24,19,Anti-Plurality,0.158,0.02
148,F1 Seasons,100,24,19,Two Approval,0.187,0.01
149,F1 Seasons,100,24,19,F1-2014,0.071,0.008
150,F1 Seasons,100,23,19,Borda,0.065,0.011
151,F1 Seasons,100,23,19,Plurality,0.212,0.014
152,F1 Seasons,100,23,19,Plurality Veto,0.192,0.015
153,F1 Seasons,100,23,19,Anti-Plurality,0.216,0.01
154,F1 Seasons,100,23,19,Two Approval,0.163,0.01
155,F1 Seasons,100,23,19,F1-2013,0.069,0.011
156,F1 Seasons,100,26,17,Borda,0.063,0.012
157,F1 Seasons,100,26,17,Plurality,0.189,0.011
158,F1 Seasons,100,26,17,Plurality Veto,0.109,0.008
159,F1 Seasons,100,26,17,Anti-Plurality,0.153,0.002
160,F1 Seasons,100,26,17,Two Approval,0.185,0.001
161,F1 Seasons,100,26,17,F1-2007,0.09,0.012
