num_voters,num_alternatives,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
20,10,plackett_luce,Plurality Veto,0.192,0.043,0.082,0.0
20,10,plackett_luce,Plurality Veto,0.195,0.05,0.076,0.0
20,10,plackett_luce,Plurality Veto,0.197,0.042,0.098,0.0
20,10,plackett_luce,Plurality Veto,0.198,0.047,0.098,0.0
20,10,plackett_luce,Plurality Veto,0.207,0.044,0.089,0.0
20,10,plackett_luce,Anti-Plurality,0.259,0.033,0.187,0.0
20,10,plackett_luce,Anti-Plurality,0.276,0.039,0.16,0.0
20,10,plackett_luce,Anti-Plurality,0.276,0.045,0.173,0.0
20,10,plackett_luce,Anti-Plurality,0.277,0.039,0.198,0.0
20,10,plackett_luce,Anti-Plurality,0.279,0.036,0.213,0.0
20,10,plackett_luce,Anti-Plurality,0.283,0.041,0.209,0.0
20,10,plackett_luce,Plurality,0.284,0.052,0.204,0.0
20,10,plackett_luce,Anti-Plurality,0.285,0.037,0.207,0.0
20,10,plackett_luce,Anti-Plurality,0.285,0.032,0.176,0.0
20,10,plackett_luce,Anti-Plurality,0.288,0.04,0.164,0.0
20,10,plackett_luce,Anti-Plurality,0.288,0.043,0.198,0.0
20,10,plackett_luce,Plurality,0.289,0.058,0.173,0.0
20,10,plackett_luce,Plurality,0.292,0.043,0.193,0.0
20,10,plackett_luce,Anti-Plurality,0.292,0.027,0.236,0.0
20,10,plackett_luce,Anti-Plurality,0.294,0.047,0.162,0.0
20,10,plackett_luce,Anti-Plurality,0.294,0.039,0.193,0.0
20,10,plackett_luce,Anti-Plurality,0.294,0.038,0.189,0.0
20,10,plackett_luce,Plurality,0.295,0.05,0.2,0.0
20,10,plackett_luce,Anti-Plurality,0.297,0.037,0.2,0.0
20,10,plackett_luce,Anti-Plurality,0.298,0.04,0.204,0.0
20,10,plackett_luce,Anti-Plurality,0.298,0.031,0.182,0.0
20,10,plackett_luce,Anti-Plurality,0.301,0.03,0.196,0.0
20,10,plackett_luce,Plurality,0.302,0.052,0.147,0.0
20,10,plackett_luce,Anti-Plurality,0.304,0.026,0.207,0.0
20,10,plackett_luce,Plurality,0.305,0.057,0.147,0.0
20,10,plackett_luce,Plurality,0.307,0.056,0.189,0.0
20,10,plackett_luce,Plurality,0.307,0.047,0.2,0.0
20,10,plackett_luce,Plurality,0.312,0.053,0.213,0.0
20,10,plackett_luce,Plurality,0.315,0.049,0.207,0.0
20,10,plackett_luce,Plurality,0.324,0.055,0.136,0.0
20,10,plackett_luce,Plurality,0.324,0.056,0.193,0.0
20,10,plackett_luce,Anti-Plurality,0.325,0.035,0.182,0.0
20,10,plackett_luce,Plurality,0.327,0.043,0.216,0.0
20,10,plackett_luce,Plurality,0.327,0.05,0.176,0.0
20,10,plackett_luce,Plurality,0.331,0.056,0.169,0.0
20,10,plackett_luce,Plurality,0.331,0.041,0.182,0.0
20,10,plackett_luce,Plurality,0.332,0.043,0.209,0.0
20,10,plackett_luce,Plurality,0.334,0.053,0.198,0.0
20,10,plackett_luce,Plurality,0.335,0.05,0.153,0.0
20,10,plackett_luce,Plurality,0.352,0.061,0.184,0.0
20,10,plackett_luce,Random,0.476,0.111,0.518,0.118
20,10,plackett_luce,Random,0.479,0.103,0.506,0.108
20,10,plackett_luce,Random,0.488,0.122,0.495,0.128
20,10,plackett_luce,Random,0.488,0.117,0.489,0.105
20,10,plackett_luce,Random,0.492,0.122,0.483,0.131
20,10,plackett_luce,Random,0.494,0.122,0.503,0.118
20,10,plackett_luce,Random,0.494,0.126,0.504,0.118
20,10,plackett_luce,Random,0.496,0.116,0.495,0.119
20,10,plackett_luce,Random,0.497,0.122,0.482,0.119
20,10,plackett_luce,Random,0.497,0.113,0.486,0.11
20,10,plackett_luce,Random,0.497,0.118,0.511,0.134
20,10,plackett_luce,Random,0.497,0.101,0.494,0.131
20,10,plackett_luce,Random,0.501,0.106,0.506,0.116
20,10,plackett_luce,Random,0.502,0.127,0.499,0.121
20,10,plackett_luce,Random,0.502,0.136,0.464,0.125
20,10,plackett_luce,Random,0.503,0.124,0.489,0.13
20,10,plackett_luce,Random,0.51,0.127,0.502,0.123
20,10,plackett_luce,Random,0.515,0.131,0.501,0.11
20,10,plackett_luce,Random,0.52,0.124,0.514,0.112
20,10,plackett_luce,Random,0.525,0.115,0.501,0.115
