num_voters,num_alternatives,Num Profiles,Shuffle Amount,Splits Per Profile,split type,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
20,10,10,0,20,equal_size,plackett_luce-R,Kemeny,0.221,0.058,0.164,0.0
20,10,10,0,20,equal_size,plackett_luce-R,PL MLE,0.222,0.061,0.187,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Borda,0.233,0.056,0.186,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Copeland,0.234,0.056,0.176,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Kemeny,0.215,0.063,0.167,0.0
20,10,10,0,20,equal_size,plackett_luce-R,PL MLE,0.206,0.061,0.18,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Borda,0.217,0.058,0.182,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Copeland,0.231,0.058,0.18,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Kemeny,0.283,0.069,0.216,0.0
20,10,10,0,20,equal_size,plackett_luce-R,PL MLE,0.294,0.064,0.222,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Borda,0.295,0.058,0.242,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Copeland,0.297,0.063,0.23,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Kemeny,0.196,0.051,0.198,0.0
20,10,10,0,20,equal_size,plackett_luce-R,PL MLE,0.186,0.054,0.202,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Borda,0.202,0.054,0.187,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Copeland,0.202,0.057,0.197,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Kemeny,0.262,0.053,0.187,0.0
20,10,10,0,20,equal_size,plackett_luce-R,PL MLE,0.26,0.05,0.211,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Borda,0.27,0.048,0.206,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Copeland,0.274,0.049,0.214,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Kemeny,0.249,0.06,0.156,0.0
20,10,10,0,20,equal_size,plackett_luce-R,PL MLE,0.235,0.054,0.164,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Borda,0.259,0.057,0.166,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Copeland,0.268,0.056,0.168,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Kemeny,0.176,0.058,0.171,0.0
20,10,10,0,20,equal_size,plackett_luce-R,PL MLE,0.205,0.054,0.193,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Borda,0.196,0.053,0.199,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Copeland,0.194,0.056,0.186,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Kemeny,0.202,0.05,0.178,0.0
20,10,10,0,20,equal_size,plackett_luce-R,PL MLE,0.215,0.056,0.191,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Borda,0.214,0.048,0.202,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Copeland,0.209,0.049,0.183,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Kemeny,0.2,0.053,0.158,0.0
20,10,10,0,20,equal_size,plackett_luce-R,PL MLE,0.207,0.046,0.156,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Borda,0.208,0.05,0.154,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Copeland,0.219,0.051,0.149,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Kemeny,0.248,0.057,0.169,0.0
20,10,10,0,20,equal_size,plackett_luce-R,PL MLE,0.263,0.053,0.189,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Borda,0.27,0.052,0.18,0.0
20,10,10,0,20,equal_size,plackett_luce-R,Copeland,0.276,0.056,0.192,0.0
20,10,10,0,20,equal_size,plackett_luce,Kemeny,0.067,0.032,0.013,0.0
20,10,10,0,20,equal_size,plackett_luce,PL MLE,0.081,0.029,0.016,0.0
20,10,10,0,20,equal_size,plackett_luce,Borda,0.095,0.03,0.024,0.0
20,10,10,0,20,equal_size,plackett_luce,Copeland,0.091,0.03,0.023,0.0
20,10,10,0,20,equal_size,plackett_luce,Kemeny,0.072,0.033,0.013,0.0
20,10,10,0,20,equal_size,plackett_luce,PL MLE,0.076,0.028,0.011,0.0
20,10,10,0,20,equal_size,plackett_luce,Borda,0.081,0.031,0.02,0.0
20,10,10,0,20,equal_size,plackett_luce,Copeland,0.094,0.029,0.024,0.0
20,10,10,0,20,equal_size,plackett_luce,Kemeny,0.06,0.035,0.007,0.0
20,10,10,0,20,equal_size,plackett_luce,PL MLE,0.069,0.03,0.007,0.0
20,10,10,0,20,equal_size,plackett_luce,Borda,0.08,0.03,0.012,0.0
20,10,10,0,20,equal_size,plackett_luce,Copeland,0.085,0.027,0.017,0.0
20,10,10,0,20,equal_size,plackett_luce,Kemeny,0.066,0.03,0.013,0.0
20,10,10,0,20,equal_size,plackett_luce,PL MLE,0.065,0.029,0.016,0.0
20,10,10,0,20,equal_size,plackett_luce,Borda,0.076,0.029,0.016,0.0
20,10,10,0,20,equal_size,plackett_luce,Copeland,0.088,0.027,0.019,0.0
20,10,10,0,20,equal_size,plackett_luce,Kemeny,0.067,0.029,0.031,0.0
20,10,10,0,20,equal_size,plackett_luce,PL MLE,0.076,0.033,0.022,0.0
20,10,10,0,20,equal_size,plackett_luce,Borda,0.085,0.033,0.03,0.0
20,10,10,0,20,equal_size,plackett_luce,Copeland,0.09,0.029,0.039,0.0
20,10,10,0,20,equal_size,plackett_luce,Kemeny,0.062,0.031,0.009,0.0
20,10,10,0,20,equal_size,plackett_luce,PL MLE,0.07,0.031,0.016,0.0
20,10,10,0,20,equal_size,plackett_luce,Borda,0.081,0.035,0.029,0.0
20,10,10,0,20,equal_size,plackett_luce,Copeland,0.083,0.03,0.018,0.0
20,10,10,0,20,equal_size,plackett_luce,Kemeny,0.058,0.025,0.031,0.0
20,10,10,0,20,equal_size,plackett_luce,PL MLE,0.062,0.027,0.016,0.0
20,10,10,0,20,equal_size,plackett_luce,Borda,0.076,0.03,0.03,0.0
20,10,10,0,20,equal_size,plackett_luce,Copeland,0.074,0.025,0.034,0.0
20,10,10,0,20,equal_size,plackett_luce,Kemeny,0.07,0.033,0.007,0.0
20,10,10,0,20,equal_size,plackett_luce,PL MLE,0.076,0.029,0.024,0.0
20,10,10,0,20,equal_size,plackett_luce,Borda,0.088,0.032,0.018,0.0
20,10,10,0,20,equal_size,plackett_luce,Copeland,0.097,0.028,0.021,0.0
20,10,10,0,20,equal_size,plackett_luce,Kemeny,0.052,0.027,0.013,0.0
20,10,10,0,20,equal_size,plackett_luce,PL MLE,0.063,0.03,0.002,0.0
20,10,10,0,20,equal_size,plackett_luce,Borda,0.072,0.032,0.012,0.0
20,10,10,0,20,equal_size,plackett_luce,Copeland,0.075,0.027,0.02,0.0
20,10,10,0,20,equal_size,plackett_luce,Kemeny,0.065,0.031,0.018,0.0
20,10,10,0,20,equal_size,plackett_luce,PL MLE,0.068,0.028,0.016,0.0
20,10,10,0,20,equal_size,plackett_luce,Borda,0.08,0.031,0.021,0.0
20,10,10,0,20,equal_size,plackett_luce,Copeland,0.088,0.029,0.02,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Kemeny,0.333,0.048,0.266,0.0
20,20,10,0,20,equal_size,plackett_luce-R,PL MLE,0.328,0.042,0.28,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Borda,0.334,0.044,0.268,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Copeland,0.337,0.045,0.273,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Kemeny,0.33,0.044,0.274,0.0
20,20,10,0,20,equal_size,plackett_luce-R,PL MLE,0.318,0.042,0.26,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Borda,0.328,0.038,0.269,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Copeland,0.334,0.039,0.276,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Kemeny,0.31,0.043,0.297,0.0
20,20,10,0,20,equal_size,plackett_luce-R,PL MLE,0.328,0.04,0.294,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Borda,0.308,0.04,0.3,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Copeland,0.313,0.039,0.302,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Kemeny,0.345,0.051,0.334,0.0
20,20,10,0,20,equal_size,plackett_luce-R,PL MLE,0.353,0.049,0.337,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Borda,0.346,0.048,0.344,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Copeland,0.348,0.05,0.343,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Kemeny,0.305,0.044,0.259,0.0
20,20,10,0,20,equal_size,plackett_luce-R,PL MLE,0.301,0.041,0.268,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Borda,0.297,0.041,0.264,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Copeland,0.304,0.042,0.265,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Kemeny,0.326,0.047,0.293,0.0
20,20,10,0,20,equal_size,plackett_luce-R,PL MLE,0.34,0.042,0.311,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Borda,0.327,0.042,0.317,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Copeland,0.33,0.044,0.316,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Kemeny,0.293,0.044,0.273,0.0
20,20,10,0,20,equal_size,plackett_luce-R,PL MLE,0.308,0.039,0.26,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Borda,0.298,0.04,0.266,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Copeland,0.299,0.041,0.269,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Kemeny,0.339,0.048,0.293,0.0
20,20,10,0,20,equal_size,plackett_luce-R,PL MLE,0.343,0.042,0.314,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Borda,0.347,0.041,0.313,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Copeland,0.346,0.043,0.308,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Kemeny,0.361,0.05,0.32,0.0
20,20,10,0,20,equal_size,plackett_luce-R,PL MLE,0.368,0.042,0.312,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Borda,0.37,0.046,0.331,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Copeland,0.368,0.048,0.321,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Kemeny,0.345,0.05,0.346,0.0
20,20,10,0,20,equal_size,plackett_luce-R,PL MLE,0.353,0.046,0.333,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Borda,0.345,0.045,0.349,0.0
20,20,10,0,20,equal_size,plackett_luce-R,Copeland,0.344,0.046,0.348,0.0
20,20,10,0,20,equal_size,plackett_luce,Kemeny,0.026,0.008,0.007,0.0
20,20,10,0,20,equal_size,plackett_luce,PL MLE,0.032,0.009,0.006,0.0
20,20,10,0,20,equal_size,plackett_luce,Borda,0.041,0.01,0.013,0.0
20,20,10,0,20,equal_size,plackett_luce,Copeland,0.039,0.009,0.011,0.0
20,20,10,0,20,equal_size,plackett_luce,Kemeny,0.03,0.009,0.011,0.0
20,20,10,0,20,equal_size,plackett_luce,PL MLE,0.035,0.011,0.009,0.0
20,20,10,0,20,equal_size,plackett_luce,Borda,0.039,0.011,0.014,0.0
20,20,10,0,20,equal_size,plackett_luce,Copeland,0.042,0.009,0.017,0.0
20,20,10,0,20,equal_size,plackett_luce,Kemeny,0.032,0.01,0.013,0.0
20,20,10,0,20,equal_size,plackett_luce,PL MLE,0.035,0.01,0.009,0.0
20,20,10,0,20,equal_size,plackett_luce,Borda,0.042,0.011,0.012,0.0
20,20,10,0,20,equal_size,plackett_luce,Copeland,0.044,0.01,0.015,0.0
