num_voters,num_alternatives,Num Profiles,Shuffle Amount,Splits Per Profile,split type,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.122,0.039,0.078,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.368,0.048,0.257,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.246,0.048,0.16,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Borda,0.119,0.038,0.078,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.158,0.041,0.091,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Anti-Plurality,0.331,0.052,0.267,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Copeland,0.109,0.034,0.08,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Two Approval,0.254,0.048,0.189,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Three Approval,0.234,0.036,0.17,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Four Approval,0.208,0.042,0.123,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Random,0.489,0.117,0.507,0.113
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.164,0.043,0.067,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality,0.342,0.05,0.242,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Plurality Veto,0.248,0.051,0.159,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Borda,0.145,0.036,0.069,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Dowdall,0.156,0.04,0.096,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Anti-Plurality,0.38,0.046,0.262,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Copeland,0.143,0.034,0.064,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Two Approval,0.27,0.045,0.197,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Three Approval,0.251,0.042,0.166,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Four Approval,0.234,0.044,0.124,0.0
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,Random,0.503,0.117,0.49,0.123
20,10,10,0,25,equal_size,MALLOWS-RELPHI-R,PL MLE,0.194,0.04,0.133,0.0
