num_voters,num_alternatives,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
16,20,MALLOWS-RELPHI-R,Copeland,0.128,0.022,0.066,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.129,0.023,0.059,0.0
64,20,MALLOWS-RELPHI-R,Borda,0.129,0.023,0.062,0.0
256,20,MALLOWS-RELPHI-R,Dowdall,0.132,0.02,0.078,0.0
256,20,MALLOWS-RELPHI-R,Dowdall,0.132,0.023,0.059,0.0
64,20,MALLOWS-RELPHI-R,Copeland,0.133,0.025,0.058,0.0
64,20,MALLOWS-RELPHI-R,Borda,0.133,0.024,0.072,0.0
16,20,MALLOWS-RELPHI-R,Copeland,0.134,0.023,0.061,0.0
64,20,MALLOWS-RELPHI-R,Borda,0.134,0.025,0.074,0.0
16,20,MALLOWS-RELPHI-R,Dowdall,0.135,0.022,0.077,0.0
256,20,MALLOWS-RELPHI-R,Dowdall,0.135,0.023,0.073,0.0
64,20,MALLOWS-RELPHI-R,Dowdall,0.136,0.023,0.08,0.0
64,20,MALLOWS-RELPHI-R,Borda,0.136,0.024,0.065,0.0
64,20,MALLOWS-RELPHI-R,Copeland,0.137,0.023,0.084,0.0
64,20,MALLOWS-RELPHI-R,Dowdall,0.137,0.023,0.084,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.139,0.024,0.074,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.14,0.022,0.083,0.0
64,20,MALLOWS-RELPHI-R,Copeland,0.141,0.025,0.085,0.0
64,20,MALLOWS-RELPHI-R,Dowdall,0.142,0.024,0.09,0.0
64,20,MALLOWS-RELPHI-R,Copeland,0.143,0.024,0.078,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.143,0.02,0.089,0.0
256,20,MALLOWS-RELPHI-R,Borda,0.144,0.022,0.082,0.0
64,20,MALLOWS-RELPHI-R,Borda,0.145,0.024,0.102,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.145,0.023,0.075,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.146,0.023,0.074,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.147,0.024,0.081,0.0
64,20,MALLOWS-RELPHI-R,Borda,0.147,0.025,0.096,0.0
16,20,MALLOWS-RELPHI-R,Borda,0.148,0.022,0.072,0.0
64,20,MALLOWS-RELPHI-R,Dowdall,0.148,0.025,0.082,0.0
64,20,MALLOWS-RELPHI-R,Dowdall,0.148,0.025,0.089,0.0
256,20,MALLOWS-RELPHI-R,Dowdall,0.15,0.023,0.092,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.15,0.022,0.077,0.0
64,20,MALLOWS-RELPHI-R,Dowdall,0.152,0.024,0.104,0.0
16,20,MALLOWS-RELPHI-R,Borda,0.153,0.026,0.081,0.0
16,20,MALLOWS-RELPHI-R,Copeland,0.153,0.027,0.072,0.0
64,20,MALLOWS-RELPHI-R,Borda,0.154,0.026,0.092,0.0
64,20,MALLOWS-RELPHI-R,Borda,0.154,0.028,0.078,0.0
16,20,MALLOWS-RELPHI-R,Dowdall,0.155,0.024,0.077,0.0
256,20,MALLOWS-RELPHI-R,Dowdall,0.155,0.026,0.091,0.0
64,20,MALLOWS-RELPHI-R,Dowdall,0.156,0.024,0.08,0.0
64,20,MALLOWS-RELPHI-R,Dowdall,0.157,0.024,0.078,0.0
64,20,MALLOWS-RELPHI-R,Copeland,0.158,0.026,0.095,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.159,0.027,0.095,0.0
64,20,MALLOWS-RELPHI-R,Copeland,0.162,0.026,0.091,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.162,0.026,0.087,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.163,0.025,0.087,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.164,0.024,0.104,0.0
64,20,MALLOWS-RELPHI-R,Dowdall,0.165,0.026,0.088,0.0
64,20,MALLOWS-RELPHI-R,Dowdall,0.167,0.025,0.097,0.0
16,20,MALLOWS-RELPHI-R,Copeland,0.167,0.025,0.086,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.168,0.028,0.095,0.0
256,20,MALLOWS-RELPHI-R,Plurality Veto,0.169,0.023,0.096,0.0
64,20,MALLOWS-RELPHI-R,Dowdall,0.17,0.026,0.107,0.0
16,20,MALLOWS-RELPHI-R,Borda,0.17,0.028,0.106,0.0
64,20,MALLOWS-RELPHI-R,Copeland,0.17,0.025,0.105,0.0
64,20,MALLOWS-RELPHI-R,Copeland,0.171,0.027,0.095,0.0
