num_voters,num_alternatives,Num Profiles,Splits Per Profile,split type,preference distribution,voting rule,KT Distance Between Splits,KT Distance Std,Distance from Central Vote,Central Vote Distance Std
20,10,5,5,equal_size,plackett_luce,PL MLE,0.078,0.035,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.078,0.034,0.02,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.078,0.031,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.078,0.035,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.078,0.029,0.009,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.078,0.033,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.079,0.026,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.079,0.017,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.079,0.024,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.08,0.027,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.08,0.024,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.08,0.019,0.038,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.08,0.026,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.081,0.025,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.081,0.029,0.038,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.081,0.036,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.081,0.019,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.081,0.031,0.033,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.081,0.021,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.082,0.025,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.082,0.035,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.082,0.019,0.016,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.082,0.029,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.082,0.033,0.033,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.083,0.032,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.083,0.033,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.084,0.019,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.084,0.027,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.084,0.029,0.053,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.084,0.024,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.084,0.026,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.084,0.028,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.085,0.034,0.038,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.085,0.021,0.024,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.085,0.032,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.085,0.025,0.033,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.085,0.034,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.086,0.03,0.009,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.086,0.03,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.086,0.032,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.086,0.019,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.086,0.026,0.02,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.086,0.023,0.042,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.086,0.022,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.087,0.03,0.013,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.087,0.025,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.087,0.022,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.087,0.028,0.033,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.087,0.026,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.087,0.026,0.033,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.088,0.023,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.088,0.039,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.088,0.032,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.088,0.025,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.088,0.02,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.088,0.025,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.088,0.018,0.02,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.088,0.017,0.04,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.089,0.017,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.089,0.022,0.033,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.09,0.026,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.09,0.033,0.024,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.092,0.029,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.092,0.024,0.04,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.092,0.028,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.092,0.027,0.016,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.092,0.029,0.004,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.092,0.023,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.092,0.023,0.031,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.093,0.028,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.093,0.035,0.04,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.094,0.024,0.042,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.094,0.023,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.094,0.03,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.095,0.017,0.036,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.096,0.031,0.024,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.096,0.028,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.097,0.027,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.098,0.023,0.027,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.098,0.035,0.004,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.098,0.028,0.047,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.098,0.027,0.02,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.098,0.031,0.04,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.1,0.028,0.011,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.104,0.031,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.104,0.023,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.105,0.029,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.106,0.016,0.042,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.106,0.024,0.038,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.106,0.031,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.107,0.031,0.029,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.107,0.028,0.062,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.11,0.032,0.018,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.116,0.034,0.04,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.116,0.035,0.044,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.12,0.04,0.062,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.121,0.035,0.067,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.121,0.032,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.122,0.028,0.049,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.123,0.022,0.071,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.123,0.03,0.04,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.123,0.039,0.058,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.123,0.03,0.044,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.124,0.039,0.04,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.125,0.036,0.049,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.127,0.033,0.06,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.127,0.038,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.128,0.029,0.049,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.128,0.036,0.036,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.128,0.04,0.022,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.129,0.031,0.044,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.13,0.036,0.076,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.131,0.036,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.132,0.044,0.08,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.132,0.028,0.073,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.132,0.028,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.132,0.029,0.04,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.132,0.036,0.062,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.132,0.04,0.051,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.133,0.024,0.067,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.133,0.027,0.067,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.133,0.036,0.044,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.133,0.029,0.053,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.134,0.034,0.053,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.134,0.031,0.042,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.134,0.04,0.062,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.135,0.035,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.136,0.039,0.078,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.136,0.04,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.136,0.03,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.136,0.024,0.064,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.137,0.04,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.139,0.034,0.053,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.139,0.039,0.051,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.139,0.034,0.053,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.14,0.035,0.062,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.14,0.034,0.062,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.141,0.038,0.067,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.142,0.044,0.078,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.143,0.044,0.076,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.143,0.041,0.058,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.143,0.027,0.08,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.143,0.033,0.04,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.143,0.035,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.143,0.042,0.076,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.144,0.033,0.073,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.144,0.033,0.049,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.144,0.041,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Four Approval,0.145,0.028,0.082,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.145,0.029,0.073,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.146,0.029,0.062,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.146,0.034,0.062,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.147,0.029,0.096,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.148,0.037,0.036,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.148,0.034,0.067,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.149,0.045,0.067,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.149,0.029,0.08,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.149,0.035,0.067,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.15,0.029,0.053,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.151,0.04,0.067,0.0
20,10,5,5,equal_size,plackett_luce,Anti-Plurality,0.152,0.052,0.076,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.152,0.032,0.04,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.153,0.033,0.073,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.154,0.035,0.071,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.155,0.034,0.049,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.155,0.033,0.047,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.155,0.033,0.084,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.155,0.034,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Copeland,0.156,0.035,0.096,0.0
20,10,5,5,equal_size,plackett_luce,Plurality Veto,0.156,0.031,0.053,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.156,0.033,0.067,0.0
20,10,5,5,equal_size,plackett_luce,Plurality,0.156,0.026,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Random,0.156,0.023,0.087,0.0
20,10,5,5,equal_size,plackett_luce,PL MLE,0.156,0.039,0.062,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.156,0.033,0.1,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.157,0.024,0.044,0.0
20,10,5,5,equal_size,plackett_luce,Two Approval,0.158,0.03,0.078,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.158,0.025,0.089,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.158,0.034,0.084,0.0
20,10,5,5,equal_size,plackett_luce,Three Approval,0.159,0.027,0.058,0.0
20,10,5,5,equal_size,plackett_luce,Borda,0.159,0.034,0.053,0.0
20,10,5,5,equal_size,plackett_luce,Dowdall,0.159,0.033,0.06,0.0
