n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
100,20,50,MALLOWS-0.4,Reversal Consistency,500,0,"Counter({'Borda': 453, 'Dowdall': 47})"
100,20,50,MALLOWS-0.4,Monotonicity,500,0,"Counter({'Borda': 465, 'Dowdall': 35})"
100,20,50,MALLOWS-0.4,Strong Consistency,420,35,"Counter({'Borda': 382, 'Dowdall': 3})"
100,20,50,MALLOWS-0.4,Weak Consistency,371,27,"Counter({'Borda': 341, 'Dowdall': 3})"
100,15,50,MALLOWS-0.4,Reversal Consistency,500,0,"Counter({'Borda': 466, 'Dowdall': 34})"
100,15,50,MALLOWS-0.4,Monotonicity,500,0,"Counter({'Borda': 470, 'Dowdall': 30})"
100,15,50,MALLOWS-0.4,Strong Consistency,426,22,"Counter({'Borda': 402, 'Dowdall': 2})"
100,15,50,MALLOWS-0.4,Weak Consistency,388,15,"Counter({'Borda': 371, 'Dowdall': 2})"
100,10,50,MALLOWS-0.4,Reversal Consistency,500,0,"Counter({'Borda': 466, 'Dowdall': 34})"
100,10,50,MALLOWS-0.4,Monotonicity,500,0,"Counter({'Borda': 456, 'Dowdall': 44})"
100,10,50,MALLOWS-0.4,Strong Consistency,414,19,"Counter({'Borda': 394, 'Dowdall': 1})"
100,10,50,MALLOWS-0.4,Weak Consistency,404,16,"Counter({'Borda': 387, 'Dowdall': 1})"
100,5,50,MALLOWS-0.4,Reversal Consistency,500,0,"Counter({'Borda': 407, 'Plurality Veto': 38, 'Dowdall': 31, 'Two Approval': 24})"
100,5,50,MALLOWS-0.4,Monotonicity,500,0,"Counter({'Borda': 400, 'Plurality Veto': 46, 'Dowdall': 28, 'Two Approval': 26})"
100,5,50,MALLOWS-0.4,Strong Consistency,302,42,"Counter({'Borda': 255, 'Plurality Veto': 3, 'Dowdall': 2})"
100,5,50,MALLOWS-0.4,Weak Consistency,300,40,"Counter({'Borda': 255, 'Plurality Veto': 3, 'Dowdall': 2})"
