n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
16,5,40,URN-R,Strong Consistency,175,34,"Counter({'Borda': 93, 'Dowdall': 18, 'Plurality Veto': 18, 'Plurality': 6, 'Anti-Plurality': 6})"
16,5,40,URN-R,Weak Consistency,91,5,"Counter({'Borda': 73, 'Dowdall': 10, 'Plurality Veto': 3})"
16,5,40,plackett_luce,Homogeneity,500,224,"Counter({'Borda': 165, 'Plurality Veto': 48, 'Dowdall': 34, 'Anti-Plurality': 27, 'Plurality': 2})"
16,5,40,plackett_luce,Reversal Symmetry,500,0,"Counter({'Borda': 278, 'Plurality Veto': 96, 'Anti-Plurality': 59, 'Dowdall': 58, 'Plurality': 9})"
16,5,40,plackett_luce,Monotonicity,500,6,"Counter({'Borda': 259, 'Plurality Veto': 102, 'Dowdall': 72, 'Anti-Plurality': 53, 'Plurality': 8})"
16,5,40,plackett_luce,Strong Consistency,148,58,"Counter({'Borda': 72, 'Dowdall': 9, 'Plurality Veto': 7, 'Anti-Plurality': 2})"
16,5,40,plackett_luce,Weak Consistency,25,2,"Counter({'Borda': 20, 'Dowdall': 3})"
16,5,40,single_peaked_conitzer,Homogeneity,500,375,"Counter({'Borda': 55, 'Plurality Veto': 49, 'Anti-Plurality': 19, 'Dowdall': 2})"
16,5,40,single_peaked_conitzer,Reversal Symmetry,500,0,"Counter({'Anti-Plurality': 347, 'Borda': 82, 'Plurality Veto': 70, 'Dowdall': 1})"
16,5,40,single_peaked_conitzer,Monotonicity,500,8,"Counter({'Anti-Plurality': 343, 'Borda': 90, 'Plurality Veto': 57, 'Dowdall': 2})"
16,5,40,single_peaked_conitzer,Strong Consistency,193,71,"Counter({'Anti-Plurality': 62, 'Borda': 46, 'Plurality Veto': 14})"
16,5,40,single_peaked_conitzer,Weak Consistency,52,20,"Counter({'Anti-Plurality': 24, 'Borda': 6, 'Plurality Veto': 2})"
16,5,40,IC,Homogeneity,500,196,"Counter({'Anti-Plurality': 95, 'Plurality': 66, 'Borda': 57, 'Dowdall': 43, 'Plurality Veto': 43})"
16,5,40,IC,Reversal Symmetry,500,0,"Counter({'Anti-Plurality': 141, 'Plurality': 104, 'Dowdall': 91, 'Borda': 89, 'Plurality Veto': 75})"
16,5,40,IC,Monotonicity,500,51,"Counter({'Anti-Plurality': 121, 'Plurality': 99, 'Borda': 87, 'Plurality Veto': 72, 'Dowdall': 70})"
16,5,40,IC,Strong Consistency,90,43,"Counter({'Borda': 17, 'Anti-Plurality': 13, 'Dowdall': 6, 'Plurality': 6, 'Plurality Veto': 5})"
16,5,40,IC,Weak Consistency,2,0,Counter({'Dowdall': 2})
16,10,20,MALLOWS-RELPHI-R,Homogeneity,500,149,"Counter({'Borda': 262, 'Dowdall': 60, 'Anti-Plurality': 13, 'Plurality Veto': 11, 'Plurality': 5})"
16,10,20,MALLOWS-RELPHI-R,Reversal Symmetry,500,0,"Counter({'Borda': 355, 'Dowdall': 100, 'Anti-Plurality': 22, 'Plurality Veto': 15, 'Plurality': 8})"
16,10,20,MALLOWS-RELPHI-R,Monotonicity,500,12,"Counter({'Borda': 341, 'Dowdall': 97, 'Anti-Plurality': 26, 'Plurality Veto': 14, 'Plurality': 10})"
16,10,20,MALLOWS-RELPHI-R,Strong Consistency,228,47,"Counter({'Borda': 161, 'Dowdall': 17, 'Plurality Veto': 2, 'Anti-Plurality': 1})"
16,10,20,MALLOWS-RELPHI-R,Weak Consistency,30,5,"Counter({'Borda': 21, 'Dowdall': 4})"
