n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
100,15,50,MALLOWS-0.4,Reversal Consistency,500,0,"Counter({'Borda': 468, 'Dowdall': 32})"
100,15,50,MALLOWS-0.4,Monotonicity,500,0,"Counter({'Borda': 468, 'Dowdall': 32})"
100,15,50,MALLOWS-0.4,Strong Consistency,418,26,"Counter({'Borda': 390, 'Dowdall': 2})"
100,15,50,MALLOWS-0.4,Weak Consistency,382,18,"Counter({'Borda': 362, 'Dowdall': 2})"
100,15,50,URN-R,Reversal Consistency,500,0,"Counter({'Borda': 260, 'Dowdall': 142, 'Plurality Veto': 50, 'Two Approval': 26, 'Anti-Plurality': 15, 'Plurality': 7})"
100,15,50,URN-R,Monotonicity,500,9,"Counter({'Borda': 257, 'Dowdall': 141, 'Plurality Veto': 54, 'Two Approval': 22, 'Anti-Plurality': 11, 'Plurality': 6})"
100,15,50,URN-R,Strong Consistency,314,34,"Counter({'Borda': 184, 'Dowdall': 72, 'Plurality Veto': 13, 'Two Approval': 8, 'Anti-Plurality': 3})"
100,15,50,URN-R,Weak Consistency,49,1,"Counter({'Borda': 46, 'Dowdall': 2})"
100,15,50,plackett_luce,Reversal Consistency,500,0,Counter({'Borda': 500})
100,15,50,plackett_luce,Monotonicity,500,0,"Counter({'Borda': 499, 'Dowdall': 1})"
100,15,50,plackett_luce,Strong Consistency,499,1,Counter({'Borda': 498})
100,15,50,plackett_luce,Weak Consistency,209,0,Counter({'Borda': 209})
100,15,50,single_peaked_conitzer,Reversal Consistency,500,0,Counter({'Borda': 500})
100,15,50,single_peaked_conitzer,Monotonicity,500,0,Counter({'Borda': 500})
100,15,50,single_peaked_conitzer,Strong Consistency,499,0,Counter({'Borda': 499})
100,15,50,single_peaked_conitzer,Weak Consistency,1,0,Counter({'Borda': 1})
100,15,50,IC,Reversal Consistency,500,0,"Counter({'Anti-Plurality': 104, 'Borda': 101, 'Two Approval': 98, 'Plurality Veto': 84, 'Plurality': 81, 'Dowdall': 32})"
100,15,50,IC,Monotonicity,500,64,"Counter({'Borda': 92, 'Two Approval': 83, 'Anti-Plurality': 77, 'Plurality Veto': 72, 'Plurality': 66, 'Dowdall': 46})"
100,15,50,IC,Strong Consistency,94,34,"Counter({'Plurality Veto': 18, 'Borda': 13, 'Anti-Plurality': 10, 'Two Approval': 8, 'Plurality': 8, 'Dowdall': 3})"
100,15,50,IC,Weak Consistency,0,0,Counter()
100,10,50,MALLOWS-0.4,Reversal Consistency,500,0,"Counter({'Borda': 463, 'Dowdall': 37})"
100,10,50,MALLOWS-0.4,Monotonicity,500,0,"Counter({'Borda': 466, 'Dowdall': 34})"
100,10,50,MALLOWS-0.4,Strong Consistency,413,20,"Counter({'Borda': 391, 'Dowdall': 2})"
100,10,50,MALLOWS-0.4,Weak Consistency,396,16,"Counter({'Borda': 378, 'Dowdall': 2})"
100,10,50,URN-R,Reversal Consistency,500,0,"Counter({'Borda': 229, 'Dowdall': 109, 'Plurality Veto': 69, 'Two Approval': 60, 'Anti-Plurality': 20, 'Plurality': 13})"
100,10,50,URN-R,Monotonicity,500,9,"Counter({'Borda': 221, 'Dowdall': 110, 'Plurality Veto': 69, 'Two Approval': 54, 'Anti-Plurality': 19, 'Plurality': 18})"
100,10,50,URN-R,Strong Consistency,285,42,"Counter({'Borda': 151, 'Dowdall': 47, 'Plurality Veto': 29, 'Two Approval': 12, 'Anti-Plurality': 3, 'Plurality': 1})"
100,10,50,URN-R,Weak Consistency,90,1,"Counter({'Borda': 83, 'Dowdall': 6})"
100,10,50,plackett_luce,Reversal Consistency,500,0,"Counter({'Borda': 495, 'Dowdall': 3, 'Plurality Veto': 2})"
100,10,50,plackett_luce,Monotonicity,500,0,"Counter({'Borda': 499, 'Dowdall': 1})"
100,10,50,plackett_luce,Strong Consistency,495,1,Counter({'Borda': 494})
100,10,50,plackett_luce,Weak Consistency,275,0,Counter({'Borda': 275})
100,10,50,single_peaked_conitzer,Reversal Consistency,500,0,Counter({'Borda': 500})
100,10,50,single_peaked_conitzer,Monotonicity,500,1,Counter({'Borda': 499})
100,10,50,single_peaked_conitzer,Strong Consistency,492,0,Counter({'Borda': 492})
100,10,50,single_peaked_conitzer,Weak Consistency,21,0,Counter({'Borda': 21})
100,10,50,IC,Reversal Consistency,500,0,"Counter({'Anti-Plurality': 136, 'Borda': 87, 'Two Approval': 85, 'Plurality': 82, 'Plurality Veto': 69, 'Dowdall': 41})"
100,10,50,IC,Monotonicity,500,50,"Counter({'Anti-Plurality': 108, 'Borda': 93, 'Two Approval': 78, 'Plurality': 66, 'Plurality Veto': 62, 'Dowdall': 43})"
100,10,50,IC,Strong Consistency,99,49,"Counter({'Anti-Plurality': 15, 'Two Approval': 9, 'Borda': 9, 'Plurality': 9, 'Plurality Veto': 8})"
100,10,50,IC,Weak Consistency,0,0,Counter()
100,5,50,MALLOWS-0.4,Reversal Consistency,500,0,"Counter({'Borda': 414, 'Plurality Veto': 38, 'Two Approval': 25, 'Dowdall': 23})"
100,5,50,MALLOWS-0.4,Monotonicity,500,0,"Counter({'Borda': 395, 'Plurality Veto': 43, 'Two Approval': 32, 'Dowdall': 30})"
