n_voters,n_candidates,n_splits,pref_dist,axiom_name,possible_violations,total_violations,non_violating_rule_names
100,5,50,IC,Homogeneity,500,188,"Counter({'Anti-Plurality': 83, 'Two Approval': 82, 'Plurality': 72, 'Borda': 30, 'Plurality Veto': 24, 'Dowdall': 21})"
100,10,50,IC,Homogeneity,500,157,"Counter({'Anti-Plurality': 98, 'Borda': 69, 'Two Approval': 64, 'Plurality': 51, 'Plurality Veto': 39, 'Dowdall': 22})"
100,15,50,IC,Homogeneity,500,135,"Counter({'Anti-Plurality': 83, 'Borda': 82, 'Two Approval': 71, 'Plurality': 58, 'Plurality Veto': 42, 'Dowdall': 29})"
100,20,50,IC,Homogeneity,500,123,"Counter({'Anti-Plurality': 92, 'Borda': 85, 'Two Approval': 68, 'Plurality': 55, 'Plurality Veto': 54, 'Dowdall': 23})"
100,5,50,IC,Monotonicity,500,18,"Counter({'Anti-Plurality': 121, 'Two Approval': 113, 'Plurality': 111, 'Plurality Veto': 52, 'Dowdall': 43, 'Borda': 42})"
100,10,50,IC,Monotonicity,500,47,"Counter({'Anti-Plurality': 106, 'Borda': 91, 'Two Approval': 85, 'Plurality': 81, 'Plurality Veto': 52, 'Dowdall': 38})"
100,15,50,IC,Monotonicity,500,64,"Counter({'Borda': 100, 'Anti-Plurality': 95, 'Two Approval': 77, 'Plurality': 65, 'Plurality Veto': 61, 'Dowdall': 38})"
100,20,50,IC,Monotonicity,500,62,"Counter({'Borda': 114, 'Anti-Plurality': 90, 'Two Approval': 75, 'Plurality': 71, 'Plurality Veto': 50, 'Dowdall': 38})"
100,5,50,IC,Reversal Symmetry,500,0,"Counter({'Anti-Plurality': 137, 'Two Approval': 116, 'Plurality': 109, 'Dowdall': 54, 'Borda': 44, 'Plurality Veto': 40})"
100,10,50,IC,Reversal Symmetry,500,0,"Counter({'Anti-Plurality': 128, 'Two Approval': 93, 'Plurality': 88, 'Borda': 83, 'Plurality Veto': 67, 'Dowdall': 41})"
100,15,50,IC,Reversal Symmetry,500,0,"Counter({'Anti-Plurality': 108, 'Borda': 99, 'Two Approval': 98, 'Plurality': 92, 'Plurality Veto': 63, 'Dowdall': 40})"
100,20,50,IC,Reversal Symmetry,500,0,"Counter({'Anti-Plurality': 116, 'Borda': 110, 'Two Approval': 89, 'Plurality': 81, 'Plurality Veto': 68, 'Dowdall': 36})"
100,5,50,IC,Strong Consistency,91,56,"Counter({'Anti-Plurality': 10, 'Two Approval': 10, 'Plurality': 9, 'Plurality Veto': 5, 'Dowdall': 1})"
100,10,50,IC,Strong Consistency,82,21,"Counter({'Anti-Plurality': 18, 'Borda': 11, 'Plurality': 11, 'Plurality Veto': 10, 'Two Approval': 9, 'Dowdall': 2})"
100,15,50,IC,Strong Consistency,88,27,"Counter({'Anti-Plurality': 21, 'Borda': 13, 'Plurality': 9, 'Two Approval': 8, 'Plurality Veto': 7, 'Dowdall': 3})"
100,20,50,IC,Strong Consistency,85,31,"Counter({'Plurality Veto': 15, 'Borda': 13, 'Anti-Plurality': 12, 'Two Approval': 7, 'Plurality': 4, 'Dowdall': 3})"
100,5,50,IC,Weak Consistency,1,0,Counter({'Plurality Veto': 1})
100,10,50,IC,Weak Consistency,0,0,Counter()
100,15,50,IC,Weak Consistency,0,0,Counter()
100,20,50,IC,Weak Consistency,0,0,Counter()
100,5,50,MALLOWS-0.4,Homogeneity,500,260,"Counter({'Borda': 152, 'Two Approval': 32, 'Plurality Veto': 21, 'Dowdall': 13, 'Anti-Plurality': 12, 'Plurality': 10})"
100,10,50,MALLOWS-0.4,Homogeneity,500,102,"Counter({'Borda': 364, 'Dowdall': 15, 'Plurality Veto': 8, 'Plurality': 4, 'Anti-Plurality': 4, 'Two Approval': 3})"
100,15,50,MALLOWS-0.4,Homogeneity,500,61,"Counter({'Borda': 414, 'Anti-Plurality': 8, 'Plurality': 7, 'Dowdall': 6, 'Two Approval': 3, 'Plurality Veto': 1})"
100,20,50,MALLOWS-0.4,Homogeneity,500,35,"Counter({'Borda': 449, 'Dowdall': 6, 'Anti-Plurality': 4, 'Plurality Veto': 3, 'Two Approval': 2, 'Plurality': 1})"
100,5,50,MALLOWS-0.4,Monotonicity,500,0,"Counter({'Borda': 400, 'Plurality Veto': 46, 'Dowdall': 28, 'Two Approval': 26})"
100,10,50,MALLOWS-0.4,Monotonicity,500,0,"Counter({'Borda': 456, 'Dowdall': 44})"
100,15,50,MALLOWS-0.4,Monotonicity,500,0,"Counter({'Borda': 470, 'Dowdall': 30})"
100,20,50,MALLOWS-0.4,Monotonicity,500,0,"Counter({'Borda': 465, 'Dowdall': 35})"
100,5,50,MALLOWS-0.4,Reversal Symmetry,500,0,"Counter({'Borda': 407, 'Plurality Veto': 38, 'Dowdall': 31, 'Two Approval': 24})"
100,10,50,MALLOWS-0.4,Reversal Symmetry,500,0,"Counter({'Borda': 466, 'Dowdall': 34})"
100,15,50,MALLOWS-0.4,Reversal Symmetry,500,0,"Counter({'Borda': 466, 'Dowdall': 34})"
100,20,50,MALLOWS-0.4,Reversal Symmetry,500,0,"Counter({'Borda': 453, 'Dowdall': 47})"
100,5,50,MALLOWS-0.4,Strong Consistency,302,42,"Counter({'Borda': 255, 'Plurality Veto': 3, 'Dowdall': 2})"
100,10,50,MALLOWS-0.4,Strong Consistency,414,19,"Counter({'Borda': 394, 'Dowdall': 1})"
100,15,50,MALLOWS-0.4,Strong Consistency,426,22,"Counter({'Borda': 402, 'Dowdall': 2})"
100,20,50,MALLOWS-0.4,Strong Consistency,420,35,"Counter({'Borda': 382, 'Dowdall': 3})"
